USDA Food Name,GI DB Food name,Similarity Score
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",Cheese & Onion sandwich spread (Asda),0.7822237305959402
"Yogurt, Greek, whole milk, flavors other than fruit",Curds Spread With Sweet Capsicum,0.7722588154943897
"Yogurt, Greek, low fat milk, flavors other than fruit",Cheese Roquefort,0.7790338115469619
"Yogurt, Greek, nonfat milk, flavors other than fruit","Potato, instant (Betty Crocker Idaho Potato Buds), prepared as mash with water",0.7779237560022472
"Yogurt, Greek, with oats","Morning Coffee™(Arnotts, Australia)",0.7774547060959838
"Yogurt, liquid","Low-fat, Nestlé Diet, Peaches & Cream (Nestlé, Australia)",0.7804199695244254
Tzatziki dip,"Sustain™ bar (Kellogg's, Australia)",0.780498317448364
"Yogurt, fruit and nuts, lowfat milk",Curds Spread With Sweet Capsicum,0.7780428551862566
"Yogurt parfait, low fat, with fruit",Build-up powder. soup,0.7834462339553676
"Frozen yogurt, NFS",Citrus Lemon Protein Bar (Herbalife of Japan K.K.),0.7789825509155577
"Frozen yogurt, vanilla",Herring. pickled,0.7770505867023274
"Frozen yogurt, chocolate","Avocado, raw",0.7761300501392808
"Yogurt, frozen, NS as to flavor, lowfat milk","Corn, sweet, frozen",0.7738111317492304
"Yogurt, frozen, chocolate, lowfat milk",Honey,0.7785325600798708
"Yogurt, frozen, flavors other than chocolate, lowfat milk",Chicken curry. without bone,0.7830924159762243
"Yogurt, frozen, NS as to flavor, nonfat milk",Curds Spread With Sweet Capsicum,0.7812465953041219
"Yogurt, frozen, chocolate, nonfat milk","Bread, made from wheat flour, steamed",0.7715942717738437
"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated","buttermilk with ymer, sugar and lemon",0.7802699969092894
"Yogurt, frozen, flavors other than chocolate, nonfat milk",Curds Spread With Sweet Capsicum,0.7776525037552969
"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener",Herring. pickled,0.7804769023372129
"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener","Potatoes, in cream sauce",0.7717445644961591
"Yogurt, frozen, chocolate, whole milk","Spaghetti, protein enriched, boiled 7 min (Catelli Plus, Catelli Ltd., Montreal, Canada)",0.7706513728900533
"Yogurt, frozen, flavors other than chocolate, whole milk",Old potatoes. roast in lard,0.7745300975347433
"Frozen yogurt, soft serve, vanilla","parsley root, raw",0.7826024987370512
"Frozen yogurt, soft serve, chocolate","fish with vegetables, semifat",0.7809841511598576
"Yogurt, frozen, chocolate-coated",Fat spread 40% fat. not polyunsaturated,0.7744238489715781
Frozen yogurt sandwich,Yeast Buns In Vanilla Cream,0.7742386101395395
"Frozen yogurt bar, vanilla",High Lights Chocolate Drink: Dry Powder (Cadburys),0.7749727518646052
"Frozen yogurt cone, chocolate","FooFoo (fufu), prepared from freshly pounded plantain (80%) and cassava (20%), eaten with 110 g light soup and salmon",0.7811491763069105
"Frozen yogurt cone, vanilla",Yoghurt Low Fat,0.7792422263288461
"Yogurt, frozen, cone, flavors other than chocolate, lowfat milk",Rose wine. medium,0.778686281560769
"Yogurt, frozen, cone, chocolate, lowfat milk",Terrys Chocolate Orange,0.7755400675145998
"Frozen yogurt cone, vanilla, waffle cone",Instant banana cake,0.7753187971735654
"Baby Toddler yogurt, plain",Fusilli Pasta Twists,0.7695487073907918
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",Curds Spread With Sweet Capsicum,0.7853363338578683
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",Go Ahead Cake Bars (McVities),0.7773745226246433
"Chocolate milk, NFS",Fruit All Verieties Incl Citrus,0.7810622015848259
"Chocolate milk, ready to drink, whole",Fennel seed,0.7783301419333863
"Chocolate milk, ready to drink, reduced fat",Cannelloni. chilled/frozen. reheated,0.7825205841947613
"Chocolate milk, ready to drink, fat free","Potato, novel clone, selection 1 (CV92056-4, grown in Ontario; harvested Oct. 2009), unpeeled, cut into 2.5-3 cm cubes, boiled in salted water for 15 min Canada",0.7747671382207367
"Chocolate milk, ready to drink, low fat",Cheese. Camembert. 50 % fidm.,0.787319517165423
"Chocolate milk, ready to drink, reduced sugar, NS as to milk","Uncle Toby’s® Milk and Oats, Vanilla cereal bar",0.7762883173023931
"Chocolate milk, ready to drink, low fat (Nesquik)","Breast milk, human, reduced-fat (1.5% fat w/v), pasteurized (Arla Foods, Stockholm, Sweden)",0.7733253743617152
"Chocolate milk, ready to drink, fat free (Nesquik)",Curds Spread With Sweet Capsicum,0.7810620482200124
"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",White bread11,0.777127684281452
"Cocoa, hot chocolate, not from dry mix, made with whole milk",Rye flour. dark. whole meal,0.7757861707627467
"Hot chocolate / Cocoa, ready to drink","Tic Tac orange (Ferrero, Italy)",0.7837666983493313
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk","Formula 1 Nutritional Shake Mix: Dutch Chocolate (Herbalife Australasia Pty Ltd, Australia), prepared with water",0.7869896510513654
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",Alpen fruit & nut & chocolate bar,0.7812246799877358
"Hot chocolate / Cocoa, ready to drink, with whipped cream",Go Ahead Hazlenut & Pistachio Bar (35g),0.7748003267029281
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream","Spaghetti n°12 (De Cecco, Italy)",0.7784454041446011
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream","Yam (D. rotunda), sliced, boiled, eaten with 30mL vegetable stew and 35 g beef",0.774555795871013
"Hot chocolate, Puerto Rican style, made with whole milk",Greek Pita For Souvlaki,0.7789850662247472
"Hot chocolate, Puerto Rican style, made with low fat milk",Spaghetti. canned in tomato sauce,0.7855169284281474
"Chocolate milk, made from dry mix, NS as to type of milk",Greek Soup (Rice And Egg Lemon),0.7804029765142838
"Chocolate milk, made from dry mix with whole milk","Formula 1 Nutritional Shake Mix: Dutch Chocolate (Herbalife Australasia Pty Ltd, Australia), prepared with water",0.7729518039016832
"Chocolate milk, made from dry mix with reduced fat milk",potato-carrot-turnip stew,0.7754597190766915
"Chocolate milk, made from dry mix with low fat milk",Tonic water,0.7855665701835616
"Chocolate milk, made from dry mix with fat free milk",Curds Spread With Sweet Capsicum,0.7830334377275183
"Chocolate milk, made from dry mix with non-dairy milk",Count on Us pasta tomato+basil chicken 190g (Marks & Spencer),0.7758332732127726
"Chocolate milk, made from reduced sugar mix with whole milk",Horseradish. raw,0.7747837812802234
"Chocolate milk, made from reduced sugar mix with reduced fat milk",Malted wholewheat cereal,0.7745909625310186
"Chocolate milk, made from reduced sugar mix with low fat milk","Orange jam, organic bitter orange, with apple juice (Fiordifrutta arance amare, Rigoni di Asiago, Italy)",0.7832861442439818
"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",Spring rolls with chicken,0.7808488569362555
"Chocolate milk, made from dry mix with whole milk (Nesquik)",Instant dessert powder. made up with milk,0.7749384368356346
"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)","Crispbread, Lantkn�cke",0.7763766259725066
"Chocolate milk, made from dry mix with low fat milk (Nesquik)",Shellfish,0.7746559258914736
"Chocolate milk, made from dry mix with fat free milk (Nesquik)",Avocado. Fuerte. weighed with skin and stone,0.7810055548481589
"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",Apricots. canned in juice,0.7748441257328547
"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",yorkshire tea loaf,0.7796353422866077
"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)","bread, white, with garlick and butter",0.7765164190254903
"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",Build-up powder. soup,0.7826561541908853
"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",Turkey Breast. Stewed,0.7788566192583628
"Chocolate milk, made from syrup, NS as to type of milk","Fromage Frais, yellow fruit: mango and papaya (Healthy Living, UK)",0.7769576965205847
"Chocolate milk, made from syrup with whole milk",Asda Chicken Chow Mein Ready Meal,0.7792366699779214
"Chocolate milk, made from syrup with reduced fat milk",mixed vegetables steamed. buttered,0.7804998601704676
"Chocolate milk, made from syrup with low fat milk",Pear,0.7785344686553546
"Chocolate milk, made from syrup with fat free milk",Chapatti with 4% ß-glucan,0.7786510509177678
"Chocolate milk, made from syrup with non-dairy milk","Optifast® VLCD™ Lemon Crème Dessert (Nestlé Health Science, Australia)",0.774969356176166
"Chocolate milk, made from light syrup with whole milk","Potato, novel clone, selection 3 (F03031, grown in New Brunswick), boiled 15 min, reheated in microwave 2-3 min",0.774048780898647
"Chocolate milk, made from light syrup with reduced fat milk",chinese pork dish sweet and sour,0.7783508130187439
"Chocolate milk, made from light syrup with low fat milk",Custard. made up with skimmed milk,0.7788476369418627
"Chocolate milk, made from light syrup with fat free milk",Chicken in sour sweet sauce,0.7802301494621053
"Chocolate milk, made from light syrup with non-dairy milk","Couscous, boiled 5 min Tunisia",0.7785864449914526
"Chocolate milk, made from sugar free syrup with whole milk",apple pocket,0.7793601516575298
"Chocolate milk, made from sugar free syrup with low fat milk",hare roast with sauce,0.777367431703968
"Hot chocolate / Cocoa, made with dry mix and water",Kidney. pig. raw,0.7746797779880932
"Hot chocolate / Cocoa, made with dry mix and whole milk","Rice, brown (cross between wild rice O. sativa rufipogon Griff. And O. sativa L. subsp. indica cv. MR219), cooked in an electronic rice cooker with 2 mL water/g rice",0.7790468512610953
"Hot chocolate / Cocoa, made with dry mix and reduced fat milk","Pear, Winter Nellis, raw New",0.7776078657356691
"Hot chocolate / Cocoa, made with dry mix and low fat milk",Milk cow's. powder. skimmed,0.7757630960804546
"Hot chocolate / Cocoa, made with dry mix and fat free milk","Meat balls, low fat",0.7741362233603934
"Hot chocolate / Cocoa, made with dry mix and non-dairy milk","Kibbled wheat bread, Lawson’s Settlers Grain (Goodman Fielder, Australia)",0.7784873039939294
"Cocoa with nonfat dry milk and low calorie sweetener, mixture, water added",Flour Buckwheat,0.7833124281769098
"Hot chocolate / Cocoa, made with no sugar added dry mix and water",Tesco Vegetable Quiche,0.7787925578245248
"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk","Sweet potato (Ipomoea batatas), Yellow Belly cultivar, skin on, roasted on pre-heated charcoal for 45 min",0.772405495378952
"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",Doritos corn chips (Walkers),0.7777060547020596
"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",Sainsbury's all butter flapjacks,0.7781192890406091
"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",Gherkins Pickled,0.7866270208831825
"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk","Probiotic drink, original",0.7757699342278238
"Cocoa, whey, and low calorie sweetener, mixture, fortified, water added",Terrys Chocolate Orange,0.779630918816731
"Cocoa, whey, and low-calorie sweetener mixture, lowfat milk added",Acacia honey (provided by German beekeeper association),0.7706275647177252
"Milk beverage with nonfat dry milk and low calorie sweetener, water added, chocolate",Beanburger. red kidney bean. fried in vegetable oil,0.7763326465162286
"Milk beverage, made with whole milk, flavors other than chocolate",tomotoes stuffed with olives and feta,0.77888377778836
"Strawberry milk, NFS",Rice groats. brown. raw,0.776625430041278
"Strawberry milk, whole",Curd Full-Fat,0.7825474923294452
"Strawberry milk, reduced fat",Red cabbage fresh cooked,0.7748644451824838
"Strawberry milk, low fat",Herring. pickled,0.7741328922099515
"Strawberry milk, fat free",Caesar Salad Tesco,0.7779570459038062
"Strawberry milk, reduced sugar",Wheat Grains,0.7786968119605591
"Strawberry milk, non-dairy",Hanburger Raw,0.7773708981463004
"Milk, malted, unfortified, NS as to flavor, made with milk",Garlic mushrooms (not coated),0.7771971342426593
"Milk, malted, unfortified, chocolate, made with milk",Beer. danish household. low alcohol. average values,0.772837378978559
"Milk, malted, unfortified, natural flavor, made with milk",Fat spread (5%),0.7774850431108832
"Milk, malted, natural flavor, made with milk","Spaghetti with 6% added Barley Balance ß-glucan barley concentrate (26.5% b-glucan) (DKSH Great Britain Ltd., London, UK), boiled for 5.5 min",0.7796254632682718
"Milk, malted",noodle salad with mixed vegetables and mayo,0.7703184558837892
"Milk, malted, fortified, NS as to flavor, made with milk","Chocolate, milk (Cadbury's Confectionery, Ringwood, Australia)",0.7804470533441759
Eggnog,Tesco Poached salmon fillets,0.7818739254590261
"Eggnog, lowfat / light","Dates, Fardh variety, mean of 3 regions",0.7749812174637313
"Milk shake, NS as to flavor or type",Bilberries (Blueberries),0.7748217560926545
"Milk shake, homemade or fountain-type, NS as to flavor",Warm potato salad,0.776451752431414
"Milk shake, home recipe, chocolate",Cornflakes. frosted,0.7765784583255206
"Milk shake, home recipe, flavors other than chocolate","Chocolate Liquid Breakfast, Devondale Fast Start (Murray Goulburn Co-Operative Company Limited, Australia)",0.7734900353449483
"Milk shake, home recipe, chocolate, light",Greek Potatoes Cooked In Tomato Sauce,0.7815872441972558
"Milk shake, home recipe, flavors other than chocolate, light","Pineapple, raw",0.7820678061995083
Milk shake with malt,filled salmon,0.7790192734244074
"Milk shake, made with skim milk, chocolate",gooseberry jam,0.777640686286431
"Milk shake, made with skim milk, flavors other than chocolate","Porridge, made from Polpala (Aerva lanata) green leaf extract, coconut milk, and rice Sri",0.7756254123569625
"Milk shake, fast food, chocolate",Tomato and Herb salad bowl (Marks & Spencer),0.7841261256439006
"Milk shake, fast food, flavors other than chocolate",Curds Spread With Sweet Capsicum,0.7778033203191483
"Milk shake, bottled, chocolate",Lemon peel. raw,0.7720356267176017
"Milk shake, bottled, flavors other than chocolate",Mixed bean salad (Asda),0.7691119679121798
Licuado or Batido,"Pole sitao (Vigna unguiculata subsp. sesquipedalis L. Verde), soaked overnight, boiled, cooled overnight, microwaved",0.7815488402186934
Orange Julius,"Burger Rings™, barbeque-flavored (Smith's Snack Food Co, Chatswood, NSW, Australia)",0.7760766395080231
"Fruit smoothie drink, made with fruit or fruit juice and dairy products",Chicken in sour sweet sauce,0.7775086795981102
"Fruit smoothie, NFS","Sweet strawberry fruit leather (Stretch Island Fruit Company™, WA, USA), tested with water",0.7804363450385132
"Fruit smoothie, with whole fruit and dairy",After eights,0.776188319430054
"Fruit smoothie, with whole fruit and dairy, added protein",Pumpkin. raw,0.7708122216279915
"Fruit smoothie juice drink, with dairy",Goat`S Cheese. Soft,0.7754805281438801
Chocolate milk drink,Porridge. made with milk and water,0.778139045146758
"Flavored milk drink, whey- and milk-based, flavors other than chocolate",Quark Half Fat,0.7773844407928445
Cafe con leche,"Asterix potato, peeled, boiled for 18-20 min, served with 0.5 g NaCl",0.773186349260417
Cafe con leche prepared with sugar,Smoothie-orange & pineapple (Ribena),0.7826353148747072
"Instant breakfast, fluid, canned",Curds Spread With Sweet Capsicum,0.7704951133251274
"Instant breakfast, powder, milk added","Long grain, boiled 5 min",0.7779377236921081
"Instant breakfast, powder, sweetened with low calorie sweetener, milk added",Wholemeal high-fiber barley flour porridge (50% barley flour: 50% high-fiber barley flour)28,0.7785739549768106
"Meal supplement or replacement, commercially prepared, ready-to-drink",Curds Spread With Sweet Capsicum,0.7756730368479301
"High calorie beverage, canned or powdered, reconstituted",Curds Spread With Sweet Capsicum,0.7791024918225439
"Meal supplement or replacement, milk-based, high protein, liquid","Chicken, meat, rolled, with herbs",0.7753769436802869
"Meal replacement or supplement, milk based, ready-to-drink","Manuka honey, M75-11 (East Cape, NZ) New",0.7781746813061178
"Infant formula, NFS","Chapatti, amaranth-wheat (25:75) composite flour, served with bottle gourd and tomato curry",0.7799457163416754
"Infant formula, NS as to form (Similac Expert Care Alimentum)",Biscuit Muesli,0.7813347952388594
"Infant formula, Similac Alimentum, ready-to-feed",Broad beans. boiled in unsalted water,0.7798615986492312
"Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)",Margarine,0.7790469995045209
"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)",chicken dish,0.773294310046754
"Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)",popcorn,0.7826245237644084
"Infant formula, Similac Alimentum, powder, made with water",Chicken in sour sweet sauce,0.7850173741351427
"Similac Alimentum Advance, with iron, infant formula, ready-to-feed","Snickers® Marathon Low Carb Lifestyle Energy bar, Chocolate Fudge Brownie flavor (M&M/Mars, USA)",0.7814705948958743
"Similac Alimentum Advance, with iron, infant formula, prepared from powder",Hamburg parsley,0.7718041959669096
"Enfamil, low iron, infant formula, ready-to-feed",Samosas. vegetable. retail,0.7749312263218581
"Enfamil, low iron, infant formula, prepared from liquid concentrate","Moon cake, Maxim’s Low Sugar Lotus Seed Paste (salted egg yolk) (Maxim’s Caterers Limited, Hong Kong) Hong",0.7797033535817313
"Enfamil, low iron, infant formula, prepared from powder","Split Pea (Wil-Pak Foods, USA) USA",0.7790826727201573
"Similac, low iron, infant formula, NS as to form","Fried vermicelli (Swayweih/Ballaleet), cooked with sugar, served with Omani coffee (130 mL, 225 mg caffeine)",0.7763857779424973
"Similac, low iron, infant formula, ready-to-feed","Chapatti, amaranth-wheat (25:75) composite flour, served with bottle gourd and tomato curry",0.7786835678744846
"Similac, low iron, infant formula, prepared from liquid concentrate",Macaroni. Spaghetti Whole-Meal,0.7754601630203987
"Similac, low iron, infant formula, prepared from powder",High juice drink. concentrated,0.7801939003189479
"Similac Natural Care Advance, low iron, with ARA and DHA, infant formula, NS as to form","Kibbled wheat bread, Lawson’s Settlers Grain (Goodman Fielder, Australia)",0.7764454323525929
"Infant formula, NS as to form (Similac Advance)","Sweet potato (Ipomoea batatas), boiled",0.781395107230314
"Infant formula, Similac Advance, ready-to-feed","Apricots, NS",0.7774608748530913
"Infant formula, liquid concentrate, made with water, NFS (Similac Advance)","Fried vermicelli (Swayweih/Ballaleet), cooked with sugar, served with Omani coffee (130 mL, 225 mg caffeine)",0.7861370388933822
"Infant formula, powder, made with water, NFS (Similac Advance)",Turkey,0.7818621389200009
"Infant formula, liquid concentrate, made with tap water (Similac Advance)",Curds Spread With Sweet Capsicum,0.7835300772175849
"Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)","Oranges, NS",0.7763336499694136
"Infant formula, liquid concentrate, made with baby water (Similac Advance)","White bread, containing 2% guar gum (George Weston Foods Ltd, Australia)",0.7748061816668209
"Infant formula, Similac Advance, powder, made with tap water","Gluten-free bread, made from 100% anthocyanin-rich Riceberry rice flour16",0.7787375910413671
"Infant formula, Similac Advance, powder, made with bottled water","POM Pomegranate juice (POM Wonderful LLC, USA)",0.7789108271952141
"Infant formula, Similac Advance, powder, made with baby water",Liver. goose. raw,0.7773920097902561
"Infant formula, powder, made with tap water (Similac Advance Organic)","Lentil, Imigreen, washed, brought to boil in water (1:2.5 seed:water ratio) at 500°C (~11 min), once boiling was achieved temperature reduced to 280°C and continued to boil until soft (Saskatchewan Pulse Growers, Canada)",0.7808575385071176
"Infant formula, powder, made with baby water (Similac Advance Organic)",Curds Spread With Sweet Capsicum,0.783473453464773
"Infant formula, NS as to form (Similac Sensitive)",Kelloggs AllBran regular,0.7775695062828321
"Infant formula, Similac Sensitive, ready-to-feed",Crumpets. toasted,0.7770808521257977
"Infant formula, powder, made with water, NFS (Similac Sensitive)","Ice cream, low-fat, Bulla Light Creamy vanilla (Regal Cream Products, VIC, Australia)",0.7823842945266775
"Infant formula, liquid concentrate, made with tap water (Similac Sensitive)","Ugali porridge (corn foofoo, pap) made from whole maize flour, cooked for 15 min",0.7741995666400157
"Infant formula, liquid concentrate, made with baby water (Similac Sensitive)",peppers filled with hash,0.7731643472547101
"Infant formula, Similac Sensitive, powder, made with tap water","Fermented cow's milk (ropy milk, långfil, 3% fat) (Arla, Gävle, Sweden)",0.7795154630121279
"Infant formula, Similac Sensitive, powder, made with bottled water",Sesame seeds. whole. dried,0.7811861895815867
"Infant formula, Similac Sensitive, powder, made with baby water",Figs. raw,0.778431903641495
"Infant formula, Similac for Spit-Up, ready-to-feed",Thick chocolate milkshake (Frijj),0.7842847394534577
